epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571830285855,2019-10-23T12.31.25.855 pm,2.701,-0.610,-0.610,-0.305
1571830285865,2019-10-23T12.31.25.865 pm,2.711,-0.549,-0.610,-0.305
1571830285874,2019-10-23T12.31.25.874 pm,2.720,-0.427,-0.610,-0.488
1571830285884,2019-10-23T12.31.25.884 pm,2.730,-0.427,-0.610,-0.427
1571830285895,2019-10-23T12.31.25.895 pm,2.741,-0.488,-0.610,-0.427
1571830285905,2019-10-23T12.31.25.905 pm,2.751,-0.610,-0.671,-0.366
1571830285915,2019-10-23T12.31.25.915 pm,2.761,-0.549,-0.610,-0.366
1571830285925,2019-10-23T12.31.25.925 pm,2.771,-0.610,-0.610,-0.366
1571830285936,2019-10-23T12.31.25.936 pm,2.782,-0.549,-0.610,-0.366
1571830285944,2019-10-23T12.31.25.944 pm,2.790,-0.549,-0.610,-0.366
1571830285955,2019-10-23T12.31.25.955 pm,2.801,-0.488,-0.549,-0.366
1571830285965,2019-10-23T12.31.25.965 pm,2.811,-0.427,-0.488,-0.427
1571830285975,2019-10-23T12.31.25.975 pm,2.821,-0.488,-0.549,-0.488
1571830285985,2019-10-23T12.31.25.985 pm,2.831,-0.610,-0.549,-0.427
1571830285996,2019-10-23T12.31.25.996 pm,2.842,-0.427,-0.610,-0.366
1571830286006,2019-10-23T12.31.26.006 pm,2.852,-0.549,-0.549,-0.427
1571830286015,2019-10-23T12.31.26.015 pm,2.861,-0.549,-0.610,-0.427
1571830286025,2019-10-23T12.31.26.025 pm,2.871,-0.610,-0.671,-0.366
1571830286035,2019-10-23T12.31.26.035 pm,2.881,-0.549,-0.610,-0.305
1571830286045,2019-10-23T12.31.26.045 pm,2.891,-0.549,-0.610,-0.366
1571830286056,2019-10-23T12.31.26.056 pm,2.902,-0.549,-0.610,-0.366
1571830286066,2019-10-23T12.31.26.066 pm,2.912,-0.488,-0.488,-0.366
1571830286076,2019-10-23T12.31.26.076 pm,2.922,-0.488,-0.549,-0.427
1571830286085,2019-10-23T12.31.26.085 pm,2.931,-0.488,-0.549,-0.488
1571830286095,2019-10-23T12.31.26.095 pm,2.941,-0.610,-0.610,-0.488
1571830286106,2019-10-23T12.31.26.106 pm,2.952,-0.549,-0.610,-0.427
1571830286116,2019-10-23T12.31.26.116 pm,2.962,-0.549,-0.610,-0.305
1571830286126,2019-10-23T12.31.26.126 pm,2.972,-0.549,-0.610,-0.366
1571830286136,2019-10-23T12.31.26.136 pm,2.982,-0.366,-0.671,-0.427
1571830286147,2019-10-23T12.31.26.147 pm,2.993,-0.488,-0.549,-0.427
1571830286155,2019-10-23T12.31.26.155 pm,3.001,-0.488,-0.610,-0.366
1571830286166,2019-10-23T12.31.26.166 pm,3.012,-0.427,-0.549,-0.427
1571830286176,2019-10-23T12.31.26.176 pm,3.022,-0.488,-0.610,-0.427
1571830286186,2019-10-23T12.31.26.186 pm,3.032,-0.488,-0.610,-0.427
1571830286196,2019-10-23T12.31.26.196 pm,3.042,-0.610,-0.549,-0.366
1571830286207,2019-10-23T12.31.26.207 pm,3.053,-0.488,-0.549,-0.427
1571830286215,2019-10-23T12.31.26.215 pm,3.061,-0.549,-0.549,-0.488
1571830286227,2019-10-23T12.31.26.227 pm,3.073,-0.549,-0.488,-0.427
1571830286236,2019-10-23T12.31.26.236 pm,3.082,-0.549,-0.427,-0.366
1571830286246,2019-10-23T12.31.26.246 pm,3.092,-0.427,-0.549,-0.366
1571830286256,2019-10-23T12.31.26.256 pm,3.102,-0.366,-0.610,-0.366
1571830286267,2019-10-23T12.31.26.267 pm,3.113,-0.610,-0.610,-0.427
1571830286277,2019-10-23T12.31.26.277 pm,3.123,-0.549,-0.549,-0.366
1571830286287,2019-10-23T12.31.26.287 pm,3.133,-0.427,-0.549,-0.366
1571830286296,2019-10-23T12.31.26.296 pm,3.142,-0.488,-0.549,-0.488
1571830286306,2019-10-23T12.31.26.306 pm,3.152,-0.549,-0.549,-0.427
1571830286316,2019-10-23T12.31.26.316 pm,3.162,-0.549,-0.549,-0.305
1571830286327,2019-10-23T12.31.26.327 pm,3.173,-0.488,-0.549,-0.366
1571830286337,2019-10-23T12.31.26.337 pm,3.183,-0.427,-0.488,-0.366
1571830286347,2019-10-23T12.31.26.347 pm,3.193,-0.549,-0.488,-0.427
1571830286356,2019-10-23T12.31.26.356 pm,3.202,-0.488,-0.549,-0.427
